Labels,15 wt% in mCP,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,19990.234000,
Step,9.7656250,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

0.00,0.00000000E+0,
9.7656250,0.00000000E+0,
19.531250,0.00000000E+0,
29.296875,0.00000000E+0,
39.06250,0.00000000E+0,
48.828125,0.00000000E+0,
58.593750,0.00000000E+0,
68.359375,0.00000000E+0,
78.1250,0.00000000E+0,
87.890625,0.00000000E+0,
97.656250,0.00000000E+0,
107.421880,0.00000000E+0,
117.187500,0.00000000E+0,
126.953130,1.00000000E+0,
136.718750,6.00000000E+0,
146.484380,4.00000000E+0,
156.2500,2.91300000E+3,
166.015630,2.00000000E+4,
175.781250,1.31360000E+4,
185.546880,7.56300000E+3,
195.312500,4.74700000E+3,
205.078130,3.20600000E+3,
214.843750,2.21900000E+3,
224.609380,1.59500000E+3,
234.37500,1.22800000E+3,
244.140630,1.02500000E+3,
253.906250,8.68000000E+2,
263.671880,6.91000000E+2,
273.437500,6.22000000E+2,
283.203130,5.57000000E+2,
292.968750,5.58000000E+2,
302.734380,5.11000000E+2,
312.500,4.57000000E+2,
322.265630,4.59000000E+2,
332.031250,4.13000000E+2,
341.796880,4.30000000E+2,
351.562500,4.02000000E+2,
361.328130,3.85000000E+2,
371.093750,3.74000000E+2,
380.859380,4.02000000E+2,
390.62500,4.02000000E+2,
400.390630,3.84000000E+2,
410.156250,3.79000000E+2,
419.921880,3.73000000E+2,
429.687500,3.56000000E+2,
439.453130,3.43000000E+2,
449.218750,3.53000000E+2,
458.984380,3.38000000E+2,
468.7500,3.68000000E+2,
478.515630,3.14000000E+2,
488.281250,3.67000000E+2,
498.046880,3.35000000E+2,
507.812500,3.17000000E+2,
517.578130,3.03000000E+2,
527.343750,3.39000000E+2,
537.109380,3.29000000E+2,
546.87500,2.99000000E+2,
556.640630,3.47000000E+2,
566.406250,3.18000000E+2,
576.171880,3.17000000E+2,
585.937500,3.46000000E+2,
595.703130,3.03000000E+2,
605.468750,3.13000000E+2,
615.234380,3.01000000E+2,
625.00,2.74000000E+2,
634.765630,3.05000000E+2,
644.531250,2.94000000E+2,
654.296880,2.76000000E+2,
664.062500,3.18000000E+2,
673.828130,2.84000000E+2,
683.593750,2.69000000E+2,
693.359380,2.79000000E+2,
703.12500,3.21000000E+2,
712.890630,2.76000000E+2,
722.656250,3.09000000E+2,
732.421880,2.71000000E+2,
742.187500,2.94000000E+2,
751.953130,2.95000000E+2,
761.718750,2.57000000E+2,
771.484380,2.95000000E+2,
781.2500,2.67000000E+2,
791.015630,2.47000000E+2,
800.781250,2.68000000E+2,
810.546880,2.71000000E+2,
820.312500,2.69000000E+2,
830.078130,2.81000000E+2,
839.843750,2.62000000E+2,
849.609380,2.58000000E+2,
859.37500,2.63000000E+2,
869.140630,2.78000000E+2,
878.906250,2.38000000E+2,
888.671880,2.53000000E+2,
898.437500,2.62000000E+2,
908.203130,2.81000000E+2,
917.968750,2.39000000E+2,
927.734380,2.61000000E+2,
937.500,2.72000000E+2,
947.265630,2.54000000E+2,
957.031250,2.57000000E+2,
966.796880,2.54000000E+2,
976.562500,2.24000000E+2,
986.328130,2.37000000E+2,
996.093750,2.70000000E+2,
1005.859400,2.58000000E+2,
1015.625000,2.57000000E+2,
1025.390600,2.57000000E+2,
1035.156300,2.64000000E+2,
1044.921900,2.45000000E+2,
1054.687500,2.39000000E+2,
1064.453100,2.54000000E+2,
1074.218800,2.22000000E+2,
1083.984400,2.29000000E+2,
1093.75000,2.36000000E+2,
1103.515600,2.35000000E+2,
1113.281300,2.68000000E+2,
1123.046900,2.32000000E+2,
1132.812500,2.51000000E+2,
1142.578100,2.84000000E+2,
1152.343800,2.29000000E+2,
1162.109400,2.33000000E+2,
1171.875000,2.14000000E+2,
1181.640600,2.26000000E+2,
1191.406300,2.32000000E+2,
1201.171900,2.28000000E+2,
1210.937500,2.72000000E+2,
1220.703100,2.11000000E+2,
1230.468800,2.23000000E+2,
1240.234400,2.43000000E+2,
1250.00,2.32000000E+2,
1259.765600,2.15000000E+2,
1269.531300,2.15000000E+2,
1279.296900,1.98000000E+2,
1289.062500,2.21000000E+2,
1298.828100,2.20000000E+2,
1308.593800,2.07000000E+2,
1318.359400,2.09000000E+2,
1328.125000,2.12000000E+2,
1337.890600,1.80000000E+2,
1347.656300,2.09000000E+2,
1357.421900,2.30000000E+2,
1367.187500,2.20000000E+2,
1376.953100,2.11000000E+2,
1386.718800,2.06000000E+2,
1396.484400,2.06000000E+2,
1406.25000,2.11000000E+2,
1416.015600,1.82000000E+2,
1425.781300,1.90000000E+2,
1435.546900,2.04000000E+2,
1445.312500,2.03000000E+2,
1455.078100,1.78000000E+2,
1464.843800,2.16000000E+2,
1474.609400,2.05000000E+2,
1484.375000,1.90000000E+2,
1494.140600,2.10000000E+2,
1503.906300,2.21000000E+2,
1513.671900,1.89000000E+2,
1523.437500,2.01000000E+2,
1533.203100,2.10000000E+2,
1542.968800,2.09000000E+2,
1552.734400,1.87000000E+2,
1562.5000,1.79000000E+2,
1572.265600,1.90000000E+2,
1582.031300,1.95000000E+2,
1591.796900,2.02000000E+2,
1601.562500,1.99000000E+2,
1611.328100,2.11000000E+2,
1621.093800,2.09000000E+2,
1630.859400,1.89000000E+2,
1640.625000,1.72000000E+2,
1650.390600,1.99000000E+2,
1660.156300,2.04000000E+2,
1669.921900,1.71000000E+2,
1679.687500,1.81000000E+2,
1689.453100,1.58000000E+2,
1699.218800,1.93000000E+2,
1708.984400,1.76000000E+2,
1718.75000,1.82000000E+2,
1728.515600,1.95000000E+2,
1738.281300,1.96000000E+2,
1748.046900,1.71000000E+2,
1757.812500,2.05000000E+2,
1767.578100,1.55000000E+2,
1777.343800,1.75000000E+2,
1787.109400,2.01000000E+2,
1796.875000,1.64000000E+2,
1806.640600,1.72000000E+2,
1816.406300,1.94000000E+2,
1826.171900,1.51000000E+2,
1835.937500,1.92000000E+2,
1845.703100,1.72000000E+2,
1855.468800,1.85000000E+2,
1865.234400,1.79000000E+2,
1875.000,1.93000000E+2,
1884.765600,1.84000000E+2,
1894.531300,1.74000000E+2,
1904.296900,1.89000000E+2,
1914.062500,1.59000000E+2,
1923.828100,2.02000000E+2,
1933.593800,1.84000000E+2,
1943.359400,1.66000000E+2,
1953.125000,1.83000000E+2,
1962.890600,1.58000000E+2,
1972.656300,1.74000000E+2,
1982.421900,1.43000000E+2,
1992.187500,1.71000000E+2,
2001.953100,1.68000000E+2,
2011.718800,1.72000000E+2,
2021.484400,1.62000000E+2,
2031.25000,1.66000000E+2,
2041.015600,1.61000000E+2,
2050.781300,1.70000000E+2,
2060.546900,1.53000000E+2,
2070.312500,1.63000000E+2,
2080.078100,1.50000000E+2,
2089.843800,1.58000000E+2,
2099.609400,1.48000000E+2,
2109.375000,1.65000000E+2,
2119.140600,1.62000000E+2,
2128.906300,1.61000000E+2,
2138.671900,1.78000000E+2,
2148.437500,1.50000000E+2,
2158.203100,1.72000000E+2,
2167.968800,1.63000000E+2,
2177.734400,1.78000000E+2,
2187.5000,1.60000000E+2,
2197.265600,1.73000000E+2,
2207.031300,1.55000000E+2,
2216.796900,1.48000000E+2,
2226.562500,1.56000000E+2,
2236.328100,1.55000000E+2,
2246.093800,1.58000000E+2,
2255.859400,1.60000000E+2,
2265.625000,1.81000000E+2,
2275.390600,1.57000000E+2,
2285.156300,1.62000000E+2,
2294.921900,1.61000000E+2,
2304.687500,1.39000000E+2,
2314.453100,1.36000000E+2,
2324.218800,1.50000000E+2,
2333.984400,1.51000000E+2,
2343.75000,1.65000000E+2,
2353.515600,1.67000000E+2,
2363.281300,1.59000000E+2,
2373.046900,1.53000000E+2,
2382.812500,1.73000000E+2,
2392.578100,1.38000000E+2,
2402.343800,1.56000000E+2,
2412.109400,1.56000000E+2,
2421.875000,1.48000000E+2,
2431.640600,1.37000000E+2,
2441.406300,1.32000000E+2,
2451.171900,1.31000000E+2,
2460.937500,1.55000000E+2,
2470.703100,1.69000000E+2,
2480.468800,1.47000000E+2,
2490.234400,1.55000000E+2,
2500.00,1.48000000E+2,
2509.765600,1.24000000E+2,
2519.531300,1.48000000E+2,
2529.296900,1.21000000E+2,
2539.062500,1.54000000E+2,
2548.828100,1.45000000E+2,
2558.593800,1.27000000E+2,
2568.359400,1.43000000E+2,
2578.125000,1.25000000E+2,
2587.890600,1.61000000E+2,
2597.656300,1.43000000E+2,
2607.421900,1.27000000E+2,
2617.187500,1.08000000E+2,
2626.953100,1.31000000E+2,
2636.718800,1.10000000E+2,
2646.484400,1.37000000E+2,
2656.25000,1.11000000E+2,
2666.015600,1.38000000E+2,
2675.781300,1.61000000E+2,
2685.546900,1.14000000E+2,
2695.312500,1.43000000E+2,
2705.078100,1.38000000E+2,
2714.843800,1.32000000E+2,
2724.609400,1.40000000E+2,
2734.375000,1.18000000E+2,
2744.140600,1.39000000E+2,
2753.906300,1.57000000E+2,
2763.671900,1.45000000E+2,
2773.437500,1.24000000E+2,
2783.203100,1.20000000E+2,
2792.968800,1.19000000E+2,
2802.734400,1.15000000E+2,
2812.5000,1.51000000E+2,
2822.265600,1.24000000E+2,
2832.031300,1.31000000E+2,
2841.796900,1.28000000E+2,
2851.562500,1.26000000E+2,
2861.328100,1.03000000E+2,
2871.093800,1.23000000E+2,
